"State/City/County","1950","1960","1970","1980","1990","2000","2010","2020"
"Illinois","8712176","10081158","11113976","11426518","11430602","12419293","12830632","12812508"
"Chicago","3620962","3550404","3366957","3005072","2783726","2896016","2695598","2746388"
"Adams","64690","68467","70861","71622","66090","68277","67103","65737"
"Alexander","20316","16061","12015","12264","10626","9590","8238","5240"
"Bond","14157","14060","14012","16224","14991","17633","17768","16725"
"Boone","17070","20326","25440","28630","30806","41786","54165","53448"
"Brown","7132","6210","5586","5411","5836","6950","6937","6244"
"Bureau","37711","37594","38541","39114","35688","35503","34978","33244"
"Calhoun","6898","5933","5675","5867","5322","5084","5089","4437"
"Carroll","18976","19507","19276","18779","16805","16674","15387","15702"
"Cass","15097","14539","14219","15084","13437","13695","13642","13042"
"Champaign","106100","132436","163281","168392","173025","179669","201081","205865"
"Christian","38816","37207","35948","36446","34418","35372","34800","34032"
"Clark","17362","16546","16216","16913","15921","17008","16335","15455"
"Clay","17445","15815","14735","15283","14460","14560","13815","13288"
"Clinton","22594","24029","28315","32617","33944","35535","37762","36899"
"Coles","40328","42860","47815","52260","51644","53196","53873","46863"
"Cook","4508792","5129725","5492369","5253655","5105067","5376741","5194675","5275541"
"Crawford","21137","20751","19824","20818","19464","20452","19817","18679"
"Cumberland","10496","9936","9772","11062","10670","11253","11048","10450"
"DeKalb","40781","51714","71654","74624","77932","88969","105160","100420"
"De Witt","16894","17253","16975","18108","16516","16798","16561","15516"
"Douglas","16706","19243","18997","19774","19464","19922","19980","19740"
"DuPage","154599","313459","491882","658835","781666","904161","916924","932877"
"Edgar","23407","22550","21591","21725","19595","19704","18576","16866"
"Edwards","9056","7940","7090","7961","7440","6971","6721","6245"
"Effingham","21675","23107","24608","30944","31704","34264","34242","34668"
"Fayette","24582","21946","20752","22167","20893","21802","22140","21488"
"Ford","15901","16606","16382","15265","14275","14241","14081","13534"
"Franklin","48685","39281","38329","43201","40319","39018","39561","37804"
"Fulton","43716","41954","41890","43687","38080","38250","37069","33609"
"Gallatin","9818","7638","7418","7590","6909","6445","5589","4946"
"Greene","18852","17460","17014","16661","15317","14761","13886","11985"
"Grundy","19217","22350","26535","30582","32337","37535","50063","52533"
"Hamilton","12256","10010","8665","9172","8499","8621","8457","7993"
"Hancock","25790","24574","23645","23877","21373","20121","19104","17620"
"Hardin","7530","5879","4914","5383","5189","4800","4320","3649"
"Henderson","8416","8237","8451","9114","8096","8213","7331","6387"
"Henry","46492","49317","53217","57968","51159","51020","50486","49284"
"Iroquois","32348","33562","33532","32976","30787","31334","29718","27077"
"Jackson","38124","42151","55008","61522","61067","59612","60218","52974"
"Jasper","12266","11346","10741","11318","10609","10117","9698","9287"
"Jefferson","35892","32315","31446","36552","37020","40045","38827","37113"
"Jersey","15264","17023","18492","20538","20539","21668","22985","21512"
"Jo Daviess","21459","21821","21766","23520","21821","22289","22678","22035"
"Johnson","8729","6928","7550","9624","11347","12878","12582","13308"
"Kane","150388","208246","251005","278405","317471","404119","515269","516522"
"Kankakee","73524","92063","97250","102926","96255","103833","113449","107502"
"Kendall","12115","17540","26374","37202","39413","54544","114736","131869"
"Knox","54366","61280","61280","61607","56393","55836","52919","49967"
"Lake","179097","293656","382638","440372","516418","644356","703462","714342"
"LaSalle","100610","110800","111409","112033","106913","111509","113924","109658"
"Lawrence","20539","18540","17522","17807","15972","15452","16833","15280"
"Lee","36451","38749","37947","36328","34392","36062","36031","34145"
"Livingston","37809","40341","40690","41381","39301","39678","38950","35815"
"Logan","30671","33656","33538","31802","30798","31183","30305","27987"
"McDonough","28199","28928","36653","37467","35244","32913","32612","27238"
"McHenry","50656","84210","111555","147897","183241","260077","308760","310229"
"McLean","76577","83877","104389","119149","129180","150433","169572","170954"
"Macon","98853","118257","125010","131375","117206","114706","110768","103998"
"Macoupin","44210","43524","44557","49384","47679","49019","47765","44967"
"Madison","182307","224689","250934","247691","249238","258941","269282","265859"
"Marion","41700","39349","38986","43523","41561","41691","39437","37729"
"Marshall","13025","13334","13302","14479","12846","13180","12640","11742"
"Mason","15326","15193","16161","19492","16269","16038","14666","13086"
"Massac","13594","14341","13889","14990","14752","15161","15429","14169"
"Menard","9639","9248","9685","11700","11164","12486","12705","12297"
"Mercer","17374","17149","17294","19286","17290","16957","16434","15699"
"Monroe","13282","15507","18831","20117","22422","27619","32957","34962"
"Montgomery","32460","31244","30260","31686","30728","30652","30104","28288"
"Morgan","35568","36571","36174","37502","36397","36616","35547","32915"
"Moultrie","13171","13635","13263","14546","13930","14287","14846","14526"
"Ogle","33429","38106","42867","46338","45957","51032","53497","51788"
"Peoria","174347","189044","195318","200466","182827","183433","186494","181830"
"Perry","21684","19184","19757","21714","21412","23094","22350","20945"
"Piatt","13970","14960","15509","16581","15548","16365","16729","16673"
"Pike","22155","20552","19185","18896","17577","17384","16430","14739"
"Pope","5779","4061","3857","4404","4373","4413","4470","3763"
"Pulaski","13639","10490","8741","8840","7523","7348","6161","5193"
"Putnam","4746","4570","5007","6085","5730","6086","6006","5637"
"Randolph","31673","29988","31379","35652","34583","33893","33476","30163"
"Richland","16889","16299","16829","17587","16545","16149","16233","15813"
"Rock Island","133558","150991","166734","165968","148723","149374","147546","144672"
"St. Clair","205995","262509","285176","267531","262852","256082","270056","257400"
"Saline","33420","26227","25721","28448","26551","26733","24913","23768"
"Sangamon","131484","146539","161335","176089","178386","188951","197465","196343"
"Schuyler","9613","8746","8135","8365","7498","7189","7544","6902"
"Scott","7245","6377","6096","6142","5644","5537","5355","4949"
"Shelby","24434","23404","22589","23923","22261","22893","22363","20990"
"Stark","8721","8152","7510","7389","6534","6332","5994","5400"
"Stephenson","41595","46207","48861","49536","48052","48979","47711","44630"
"Tazewell","76165","99789","118649","132078","123692","128485","135394","131343"
"Union","20500","17645","16071","17765","17619","18293","17808","17244"
"Vermilion","87079","96176","97047","95222","88257","83919","81625","74188"
"Wabash","14651","14047","12841","13713","13111","12937","11947","11361"
"Warren","21981","21587","21595","21943","19181","18735","17707","16835"
"Washington","14460","13569","13780","15472","14965","15148","14716","13761"
"Wayne","20933","19008","17004","18059","17241","17151","16760","16179"
"White","20935","19373","17312","17864","16522","15371","14665","13877"
"Whiteside","49336","59887","62877","65970","60186","60653","58498","55691"
"Will","134336","191617","249498","324460","357313","502266","677560","696355"
"Williamson","48621","46117","49021","56538","57733","61296","66357","67153"
"Winnebago","152385","209765","246623","250884","252913","278418","295266","285350"
"Woodford","21335","24579","28012","33320","32653","35469","38664","38467"